World Region/Country of Residence,AirCount,"Air Pct Change
from 2024",LandCount,"Land Pct Change
from 2024",SeaCount,"Sea Pct Change
from 2024",Not Reported Count,TotalCount,"Total Pct Change
from 2024",
    Western Europe,846577.00,-0.174,33959.00,0.144,25067.00,-0.355,,905603.00,-0.172,Western Europe
      Austria,11933.00,-0.236,459.00,0.136,328.00,-0.279,,12720.00,-0.228,Western Europe
      Belgium,17334.00,-0.183,872.00,0.583,618.00,-0.166,,18824.00,-0.163,Western Europe
      Croatia,2865.00,-0.189,189.00,0.673,187.00,-0.187,,3241.00,-0.164,Western Europe
      Denmark,14853.00,-0.345,610.00,-0.083,267.00,-0.412,,15730.00,-0.339,Western Europe
      Finland,8507.00,-0.089,426.00,-0.082,228.00,-0.274,,9161.00,-0.095,Western Europe
      France,98696.00,-0.051,2620.00,0.118,5215.00,-0.448,,106531.00,-0.080,Western Europe
      Germany,130915.00,-0.285,3688.00,-0.120,4154.00,-0.319,,138757.00,-0.282,Western Europe
      Greece,6777.00,0.021,219.00,0.542,192.00,-0.309,,7188.00,0.018,Western Europe
      Iceland,3023.00,-0.366,124.00,0.305,25.00,-0.390,,3172.00,-0.353,Western Europe
      Ireland,36997.00,-0.269,973.00,0.093,882.00,-0.462,,38852.00,-0.269,Western Europe
      Italy,75482.00,-0.044,2926.00,0.675,1869.00,-0.219,,80277.00,-0.034,Western Europe
      Luxembourg,1181.00,-0.440,39.00,-0.235,28.00,-0.263,,1248.00,-0.432,Western Europe
      Netherlands,37701.00,0.020,1630.00,0.793,1070.00,-0.201,,40401.00,0.030,Western Europe
      Norway,12352.00,-0.254,894.00,-0.030,212.00,-0.446,,13458.00,-0.246,Western Europe
      Portugal,12717.00,-0.192,551.00,0.565,367.00,-0.453,,13635.00,-0.186,Western Europe
      Slovenia,2202.00,0.420,170.00,0.466,54.00,0.059,,2426.00,0.412,Western Europe
      Spain,59717.00,-0.245,1287.00,0.047,2288.00,-0.376,,63292.00,-0.246,Western Europe
      Sweden,21324.00,-0.178,969.00,0.208,408.00,-0.187,,22701.00,-0.166,Western Europe
      Switzerland,23296.00,-0.264,670.00,0.155,598.00,-0.270,,24564.00,-0.257,Western Europe
      United Kingdom,263366.00,-0.148,14431.00,0.116,5764.00,-0.350,,283561.00,-0.143,Western Europe
      Other Western Europe,5339.00,-0.026,212.00,0.178,313.00,-0.303,,5864.00,-0.041,Western Europe
      Bulgaria,2519.00,0.021,191.00,0.165,155.00,0.006,,2865.00,0.029,Eastern Europe
      Czech Republic,8077.00,-0.167,280.00,-0.057,284.00,-0.396,,8641.00,-0.174,Eastern Europe
      Estonia,1786.00,0.034,114.00,-0.377,41.00,-0.406,,1941.00,-0.020,Eastern Europe
      Hungary,5605.00,-0.276,322.00,0.063,245.00,-0.199,,6172.00,-0.261,Eastern Europe
      Latvia,1956.00,0.043,116.00,1.367,88.00,-0.248,,2160.00,0.058,Eastern Europe
      Lithuania,3013.00,-0.070,263.00,0.623,93.00,-0.380,,3369.00,-0.052,Eastern Europe
      Poland,23408.00,0.181,2082.00,1.361,915.00,0.105,,26405.00,0.227,Eastern Europe
      Romania,5653.00,0.126,565.00,0.420,515.00,-0.337,,6733.00,0.087,Eastern Europe
      Russia,6349.00,0.136,167.00,0.478,612.00,-0.270,,7128.00,0.090,Eastern Europe
      Slovakia,3236.00,-0.182,151.00,-0.357,133.00,-0.444,,3520.00,-0.205,Eastern Europe
      Ukraine,4773.00,0.013,308.00,0.112,1130.00,-0.288,,6211.00,-0.055,Eastern Europe
      Other Eastern Europe,7072.00,0.108,118.00,0.372,382.00,-0.336,,7572.00,0.075,Eastern Europe
      India,102850.00,0.007,995.00,0.247,48260.00,-0.121,,152105.00,-0.036,Asia
      Indonesia,6815.00,0.196,85.00,-0.254,475.00,-0.192,,7375.00,0.152,Asia
      Japan,160562.00,0.039,944.00,1.354,3340.00,-0.184,,164846.00,0.036,Asia
"      Korea, South",92705.00,-0.132,617.00,0.380,6379.00,-0.325,,99701.00,-0.145,Asia
      Malaysia,4590.00,0.037,47.00,0.621,186.00,-0.378,,4823.00,0.015,Asia
      Pakistan,5977.00,0.133,14.00,-0.548,1654.00,-0.123,,7645.00,0.063,Asia
      PRC (Excluding Hong Kong),99061.00,0.033,2404.00,0.030,13686.00,-0.235,,115151.00,-0.008,Asia
      Hong Kong,5458.00,-0.231,144.00,0.190,891.00,-0.450,,6493.00,-0.266,Asia
      Philippines,17260.00,-0.122,456.00,0.083,3255.00,-0.511,,20971.00,-0.215,Asia
      Taiwan,27799.00,0.130,296.00,-0.089,2682.00,0.013,,30777.00,0.116,Asia
      Singapore,10880.00,0.000,52.00,0.020,463.00,-0.256,,11395.00,-0.013,Asia
      Thailand,5930.00,-0.011,71.00,0.868,173.00,-0.395,,6174.00,-0.023,Asia
      Vietnam,8007.00,-0.007,82.00,0.344,962.00,-0.231,,9051.00,-0.034,Asia
      Other Asia,13178.00,-0.034,289.00,0.633,1573.00,-0.236,,15040.00,-0.053,Asia
      Bahrain,335.00,0.003,1.00,-0.923,11.00,-0.476,,347.00,-0.057,Middle East
      Cyprus,793.00,0.064,43.00,1.389,25.00,-0.074,,861.00,0.090,Middle East
      Egypt,3386.00,-0.088,5.00,-0.808,487.00,-0.254,,3878.00,-0.117,Middle East
      Iran,1209.00,-0.176,8.00,3.000,172.00,-0.499,,1389.00,-0.234,Middle East
      Israel,31184.00,0.188,801.00,1.183,1242.00,-0.117,,33227.00,0.185,Middle East
      Jordan,1577.00,0.021,11.00,0.571,156.00,-0.355,,1744.00,-0.027,Middle East
      Kuwait,1852.00,0.186,7.00,-0.891,31.00,-0.139,,1890.00,0.137,Middle East
